"date","name","category","value"
"1965-01-01","Biofuel","Biofuel",0
"1965-01-01","Coal","Coal",8.4834285269228
"1965-01-01","Gas","Gas",7.5435921518139
"1965-01-01","Hydro","Hydro",6.64495051751008
"1965-01-01","Nuclear","Nuclear",3.10202735237159
"1965-01-01","Oil","Oil",8.59848281367626
"1965-01-01","OtherRenewables","OtherRenewables",2.77008559202166
"1965-01-01","Solar","Solar",0
"1965-01-01","Wind","Wind",0
"1966-01-01","Biofuel","Biofuel",0
"1966-01-01","Coal","Coal",8.47450403817287
"1966-01-01","Gas","Gas",7.60913795456776
"1966-01-01","Hydro","Hydro",6.68823515511869
"1966-01-01","Nuclear","Nuclear",3.36956910620398
"1966-01-01","Oil","Oil",8.65206056621902
"1966-01-01","OtherRenewables","OtherRenewables",2.84164825817128
"1966-01-01","Solar","Solar",0
"1966-01-01","Wind","Wind",0
"1967-01-01","Biofuel","Biofuel",0
"1967-01-01","Coal","Coal",8.43767606226877
"1967-01-01","Gas","Gas",7.65951470494548
"1967-01-01","Hydro","Hydro",6.68969876671648
"1967-01-01","Nuclear","Nuclear",3.51877298839924
"1967-01-01","Oil","Oil",8.70054138770215
"1967-01-01","OtherRenewables","OtherRenewables",2.83079866636126
"1967-01-01","Solar","Solar",0
"1967-01-01","Wind","Wind",0
"1968-01-01","Biofuel","Biofuel",0
"1968-01-01","Coal","Coal",8.43181132242066
"1968-01-01","Gas","Gas",7.72576702851555
"1968-01-01","Hydro","Hydro",6.72081346521992
"1968-01-01","Nuclear","Nuclear",3.73191499692751
"1968-01-01","Oil","Oil",8.7617974456396
"1968-01-01","OtherRenewables","OtherRenewables",2.90695570316314
"1968-01-01","Solar","Solar",0
"1968-01-01","Wind","Wind",0
"1969-01-01","Biofuel","Biofuel",0
"1969-01-01","Coal","Coal",8.44123332094147
"1969-01-01","Gas","Gas",7.79866625223515
"1969-01-01","Hydro","Hydro",6.75741250653094
"1969-01-01","Nuclear","Nuclear",3.87815593591657
"1969-01-01","Oil","Oil",8.8216670395667
"1969-01-01","OtherRenewables","OtherRenewables",2.93486699778272
"1969-01-01","Solar","Solar",0
"1969-01-01","Wind","Wind",0
"1970-01-01","Biofuel","Biofuel",0
"1970-01-01","Coal","Coal",8.43617704343672
"1970-01-01","Gas","Gas",7.86299284035302
"1970-01-01","Hydro","Hydro",6.78305789421261
"1970-01-01","Nuclear","Nuclear",4.09780523385108
"1970-01-01","Oil","Oil",8.88440841096838
"1970-01-01","OtherRenewables","OtherRenewables",3.00998028681919
"1970-01-01","Solar","Solar",0
"1970-01-01","Wind","Wind",0
"1971-01-01","Biofuel","Biofuel",0
"1971-01-01","Coal","Coal",8.410585898855
"1971-01-01","Gas","Gas",7.9109067765046
"1971-01-01","Hydro","Hydro",6.80653838886053
"1971-01-01","Nuclear","Nuclear",4.40315191628883
"1971-01-01","Oil","Oil",8.91878119325188
"1971-01-01","OtherRenewables","OtherRenewables",3.06851794327964
"1971-01-01","Solar","Solar",0
"1971-01-01","Wind","Wind",0
"1972-01-01","Biofuel","Biofuel",0
"1972-01-01","Coal","Coal",8.40172936431542
"1972-01-01","Gas","Gas",7.94482012433166
"1972-01-01","Hydro","Hydro",6.83245505792052
"1972-01-01","Nuclear","Nuclear",4.70725735007144
"1972-01-01","Oil","Oil",8.97309764273274
"1972-01-01","OtherRenewables","OtherRenewables",3.11560201940437
"1972-01-01","Solar","Solar",0
"1972-01-01","Wind","Wind",0
"1973-01-01","Biofuel","Biofuel",0
"1973-01-01","Coal","Coal",8.41165021466895
"1973-01-01","Gas","Gas",7.97159563730492
"1973-01-01","Hydro","Hydro",6.82709387995857
"1973-01-01","Nuclear","Nuclear",4.97812587640052
"1973-01-01","Oil","Oil",9.02858561452113
"1973-01-01","OtherRenewables","OtherRenewables",3.16509522918355
"1973-01-01","Solar","Solar",0
"1973-01-01","Wind","Wind",0
"1974-01-01","Biofuel","Biofuel",0
"1974-01-01","Coal","Coal",8.39329026738602
"1974-01-01","Gas","Gas",7.97669945610132
"1974-01-01","Hydro","Hydro",6.90173016437826
"1974-01-01","Nuclear","Nuclear",5.2255531065932
"1974-01-01","Oil","Oil",8.9948505807706
"1974-01-01","OtherRenewables","OtherRenewables",3.20111910327894
"1974-01-01","Solar","Solar",0
"1974-01-01","Wind","Wind",0
"1975-01-01","Biofuel","Biofuel",0
"1975-01-01","Coal","Coal",8.39374677404527
"1975-01-01","Gas","Gas",7.95839262110062
"1975-01-01","Hydro","Hydro",6.89524839292486
"1975-01-01","Nuclear","Nuclear",5.53273710205656
"1975-01-01","Oil","Oil",8.96603651213359
"1975-01-01","OtherRenewables","OtherRenewables",3.19785645764413
"1975-01-01","Solar","Solar",0
"1975-01-01","Wind","Wind",0
"1976-01-01","Biofuel","Biofuel",0
"1976-01-01","Coal","Coal",8.41165354860499
"1976-01-01","Gas","Gas",7.99792603798389
"1976-01-01","Hydro","Hydro",6.8730282142505
"1976-01-01","Nuclear","Nuclear",5.67084941935371
"1976-01-01","Oil","Oil",9.01087880078413
"1976-01-01","OtherRenewables","OtherRenewables",3.28522520540973
"1976-01-01","Solar","Solar",0
"1976-01-01","Wind","Wind",0
"1977-01-01","Biofuel","Biofuel",0
"1977-01-01","Coal","Coal",8.42294932289991
"1977-01-01","Gas","Gas",8.01236686913297
"1977-01-01","Hydro","Hydro",6.8882400903715
"1977-01-01","Nuclear","Nuclear",5.87126672319588
"1977-01-01","Oil","Oil",9.02725168101004
"1977-01-01","OtherRenewables","OtherRenewables",3.31926399889947
"1977-01-01","Solar","Solar",0
"1977-01-01","Wind","Wind",0
"1978-01-01","Biofuel","Biofuel",0
"1978-01-01","Coal","Coal",8.4165614773315
"1978-01-01","Gas","Gas",8.03583024876745
"1978-01-01","Hydro","Hydro",6.94965317451327
"1978-01-01","Nuclear","Nuclear",6.00347710654098
"1978-01-01","Oil","Oil",9.04348168640319
"1978-01-01","OtherRenewables","OtherRenewables",3.35787225692378
"1978-01-01","Solar","Solar",0
"1978-01-01","Wind","Wind",0.00199800266267306
"1979-01-01","Biofuel","Biofuel",0
"1979-01-01","Coal","Coal",8.44455260366569
"1979-01-01","Gas","Gas",8.07848510782692
"1979-01-01","Hydro","Hydro",6.98096763590653
"1979-01-01","Nuclear","Nuclear",6.02520150190501
"1979-01-01","Oil","Oil",9.04227822484328
"1979-01-01","OtherRenewables","OtherRenewables",3.41038834836374
"1979-01-01","Solar","Solar",0
"1979-01-01","Wind","Wind",0.00399202126953746
"1980-01-01","Biofuel","Biofuel",0
"1980-01-01","Coal","Coal",8.45098736109088
"1980-01-01","Gas","Gas",8.06928164509331
"1980-01-01","Hydro","Hydro",6.98470891268342
"1980-01-01","Nuclear","Nuclear",6.0971750015301
"1980-01-01","Oil","Oil",8.98488565196794
"1980-01-01","OtherRenewables","OtherRenewables",3.45858539877089
"1980-01-01","Solar","Solar",0
"1980-01-01","Wind","Wind",0.00697561373642514
"1981-01-01","Biofuel","Biofuel",0
"1981-01-01","Coal","Coal",8.44732979827809
"1981-01-01","Gas","Gas",8.0626949696288
"1981-01-01","Hydro","Hydro",6.98842517454761
"1981-01-01","Nuclear","Nuclear",6.24562215195136
"1981-01-01","Oil","Oil",8.93064736842609
"1981-01-01","OtherRenewables","OtherRenewables",3.51285800986846
"1981-01-01","Solar","Solar",0
"1981-01-01","Wind","Wind",0.00598207167754747
"1982-01-01","Biofuel","Biofuel",0
"1982-01-01","Coal","Coal",8.4408057617336
"1982-01-01","Gas","Gas",8.05023834989048
"1982-01-01","Hydro","Hydro",6.98879226143142
"1982-01-01","Nuclear","Nuclear",6.30947818139811
"1982-01-01","Oil","Oil",8.88055312096442
"1982-01-01","OtherRenewables","OtherRenewables",3.63547867738682
"1982-01-01","Solar","Solar",0
"1982-01-01","Wind","Wind",0.0109399400383343
"1983-01-01","Biofuel","Biofuel",0
"1983-01-01","Coal","Coal",8.45358437130604
"1983-01-01","Gas","Gas",8.04864226648445
"1983-01-01","Hydro","Hydro",7.01292127572238
"1983-01-01","Nuclear","Nuclear",6.41682541543022
"1983-01-01","Oil","Oil",8.85598673172613
"1983-01-01","OtherRenewables","OtherRenewables",3.71851106923854
"1983-01-01","Solar","Solar",0.00199800266267306
"1983-01-01","Wind","Wind",0.0188217542405877
"1984-01-01","Biofuel","Biofuel",0
"1984-01-01","Coal","Coal",8.47815751714221
"1984-01-01","Gas","Gas",8.10919397516654
"1984-01-01","Hydro","Hydro",7.02841151637173
"1984-01-01","Nuclear","Nuclear",6.5922908255179
"1984-01-01","Oil","Oil",8.86126589970852
"1984-01-01","OtherRenewables","OtherRenewables",3.80963584274972
"1984-01-01","Solar","Solar",0.00399202126953746
"1984-01-01","Wind","Wind",0.0256677467485778
"1985-01-01","Biofuel","Biofuel",0
"1985-01-01","Coal","Coal",8.50215305344308
"1985-01-01","Gas","Gas",8.11353534921877
"1985-01-01","Hydro","Hydro",7.02999238054342
"1985-01-01","Nuclear","Nuclear",6.74535281329042
"1985-01-01","Oil","Oil",8.84475686435638
"1985-01-01","OtherRenewables","OtherRenewables",3.81469679479864
"1985-01-01","Solar","Solar",0.00697561373642514
"1985-01-01","Wind","Wind",0.0363319292473902
"1986-01-01","Biofuel","Biofuel",0
"1986-01-01","Coal","Coal",8.49510564768556
"1986-01-01","Gas","Gas",8.10503060518835
"1986-01-01","Hydro","Hydro",7.0252040365516
"1986-01-01","Nuclear","Nuclear",6.79571472367934
"1986-01-01","Oil","Oil",8.85607324121304
"1986-01-01","OtherRenewables","OtherRenewables",3.89022719305769
"1986-01-01","Solar","Solar",0.0089597413714718
"1986-01-01","Wind","Wind",0.0751074724868055
"1987-01-01","Biofuel","Biofuel",0
"1987-01-01","Coal","Coal",8.51532023853451
"1987-01-01","Gas","Gas",8.13774518423005
"1987-01-01","Hydro","Hydro",7.02027381477806
"1987-01-01","Nuclear","Nuclear",6.86142124605139
"1987-01-01","Oil","Oil",8.85752824346454
"1987-01-01","OtherRenewables","OtherRenewables",3.9393073784552
"1987-01-01","Solar","Solar",0.00598207167754747
"1987-01-01","Wind","Wind",0.1016536537265
"1988-01-01","Biofuel","Biofuel",0
"1988-01-01","Coal","Coal",8.52658118597016
"1988-01-01","Gas","Gas",8.16515917597566
"1988-01-01","Hydro","Hydro",7.03350912978684
"1988-01-01","Nuclear","Nuclear",6.92951579228959
"1988-01-01","Oil","Oil",8.87264797125743
"1988-01-01","OtherRenewables","OtherRenewables",3.94928025378385
"1988-01-01","Solar","Solar",0.00598207167754747
"1988-01-01","Wind","Wind",0.164666621555234
"1989-01-01","Biofuel","Biofuel",0
"1989-01-01","Coal","Coal",8.51839566815121
"1989-01-01","Gas","Gas",8.18980239341916
"1989-01-01","Hydro","Hydro",7.01047791850192
"1989-01-01","Nuclear","Nuclear",6.93981096142227
"1989-01-01","Oil","Oil",8.87105197369148
"1989-01-01","OtherRenewables","OtherRenewables",4.03145800916691
"1989-01-01","Solar","Solar",0.130150684465045
"1989-01-01","Wind","Wind",0.877549903557725
"1990-01-01","Biofuel","Biofuel",3.01012815383772
"1990-01-01","Coal","Coal",8.48917923927905
"1990-01-01","Gas","Gas",8.20481315302642
"1990-01-01","Hydro","Hydro",7.02706514843434
"1990-01-01","Nuclear","Nuclear",6.95091246481956
"1990-01-01","Oil","Oil",8.86448327499322
"1990-01-01","OtherRenewables","OtherRenewables",4.12692468564035
"1990-01-01","Solar","Solar",0.183986836113016
"1990-01-01","Wind","Wind",1.06263962820929
"1991-01-01","Biofuel","Biofuel",3.04756542219401
"1991-01-01","Coal","Coal",8.46318674607685
"1991-01-01","Gas","Gas",8.21351939693571
"1991-01-01","Hydro","Hydro",7.03397286581475
"1991-01-01","Nuclear","Nuclear",6.98140900512462
"1991-01-01","Oil","Oil",8.84828469209275
"1991-01-01","OtherRenewables","OtherRenewables",4.15234613901876
"1991-01-01","Solar","Solar",0.23031775506221
"1991-01-01","Wind","Wind",1.13043390099107
"1992-01-01","Biofuel","Biofuel",3.014897442815
"1992-01-01","Coal","Coal",8.44405459541944
"1992-01-01","Gas","Gas",8.20254463642353
"1992-01-01","Hydro","Hydro",7.01832480416247
"1992-01-01","Nuclear","Nuclear",6.97346998314518
"1992-01-01","Oil","Oil",8.84995469463134
"1992-01-01","OtherRenewables","OtherRenewables",4.20685446003314
"1992-01-01","Solar","Solar",0.212689093410351
"1992-01-01","Wind","Wind",1.2211248631435
"1993-01-01","Biofuel","Biofuel",3.04051441632588
"1993-01-01","Coal","Coal",8.43402025635545
"1993-01-01","Gas","Gas",8.1976532706072
"1993-01-01","Hydro","Hydro",7.06147243628065
"1993-01-01","Nuclear","Nuclear",6.99238774527284
"1993-01-01","Oil","Oil",8.82862172167802
"1993-01-01","OtherRenewables","OtherRenewables",4.22427573181413
"1993-01-01","Solar","Solar",0.244513577050402
"1993-01-01","Wind","Wind",1.34416943481922
"1994-01-01","Biofuel","Biofuel",3.10054263790634
"1994-01-01","Coal","Coal",8.42334394393042
"1994-01-01","Gas","Gas",8.18926118300972
"1994-01-01","Hydro","Hydro",7.05363153426898
"1994-01-01","Nuclear","Nuclear",6.99647927194081
"1994-01-01","Oil","Oil",8.83581316326147
"1994-01-01","OtherRenewables","OtherRenewables",4.2466506847562
"1994-01-01","Solar","Solar",0.257738196078709
"1994-01-01","Wind","Wind",1.50274317376314
"1995-01-01","Biofuel","Biofuel",3.13601581900105
"1995-01-01","Coal","Coal",8.41612345717557
"1995-01-01","Gas","Gas",8.2095132886174
"1995-01-01","Hydro","Hydro",7.09257371597468
"1995-01-01","Nuclear","Nuclear",7.02470418907472
"1995-01-01","Oil","Oil",8.83460754620665
"1995-01-01","OtherRenewables","OtherRenewables",4.27356409047436
"1995-01-01","Solar","Solar",0.27002713721306
"1995-01-01","Wind","Wind",1.60843741210052
"1996-01-01","Biofuel","Biofuel",3.08094620276847
"1996-01-01","Coal","Coal",8.42569744739296
"1996-01-01","Gas","Gas",8.24432248709563
"1996-01-01","Hydro","Hydro",7.09255542819316
"1996-01-01","Nuclear","Nuclear",7.04643663773705
"1996-01-01","Oil","Oil",8.84410602504774
"1996-01-01","OtherRenewables","OtherRenewables",4.28774342735275
"1996-01-01","Solar","Solar",0.289680075114454
"1996-01-01","Wind","Wind",1.68435983895136
"1997-01-01","Biofuel","Biofuel",3.10834641792313
"1997-01-01","Coal","Coal",8.41032754361511
"1997-01-01","Gas","Gas",8.22481879387276
"1997-01-01","Hydro","Hydro",7.09682898859863
"1997-01-01","Nuclear","Nuclear",7.02589824985407
"1997-01-01","Oil","Oil",8.85569165955746
"1997-01-01","OtherRenewables","OtherRenewables",4.34212869225262
"1997-01-01","Solar","Solar",0.304539189518204
"1997-01-01","Wind","Wind",1.89506788075975
"1998-01-01","Biofuel","Biofuel",3.10575191859254
"1998-01-01","Coal","Coal",8.39059201498754
"1998-01-01","Gas","Gas",8.22955245144359
"1998-01-01","Hydro","Hydro",7.09149416422476
"1998-01-01","Nuclear","Nuclear",7.02953033590806
"1998-01-01","Oil","Oil",8.84736447580862
"1998-01-01","OtherRenewables","OtherRenewables",4.3736037616628
"1998-01-01","Solar","Solar",0.326421900767712
"1998-01-01","Wind","Wind",2.12704052047911
"1999-01-01","Biofuel","Biofuel",3.10561753708323
"1999-01-01","Coal","Coal",8.38354613496005
"1999-01-01","Gas","Gas",8.24440130781164
"1999-01-01","Hydro","Hydro",7.08552817294371
"1999-01-01","Nuclear","Nuclear",7.05385103339705
"1999-01-01","Oil","Oil",8.85196255039253
"1999-01-01","OtherRenewables","OtherRenewables",4.40984849240712
"1999-01-01","Solar","Solar",0.350656871613169
"1999-01-01","Wind","Wind",2.37192457107266
"2000-01-01","Biofuel","Biofuel",3.068796844411
"2000-01-01","Coal","Coal",8.40376040469087
"2000-01-01","Gas","Gas",8.27066662586327
"2000-01-01","Hydro","Hydro",7.09014683332621
"2000-01-01","Nuclear","Nuclear",7.06300792285251
"2000-01-01","Oil","Oil",8.85131123051635
"2000-01-01","OtherRenewables","OtherRenewables",4.44412076446968
"2000-01-01","Solar","Solar",0.410120919644358
"2000-01-01","Wind","Wind",2.72175584815832
"2001-01-01","Biofuel","Biofuel",3.05433131585693
"2001-01-01","Coal","Coal",8.406709351696
"2001-01-01","Gas","Gas",8.27156780693695
"2001-01-01","Hydro","Hydro",7.04486762732463
"2001-01-01","Nuclear","Nuclear",7.07153006955617
"2001-01-01","Oil","Oil",8.84735498759564
"2001-01-01","OtherRenewables","OtherRenewables",4.4555210257681
"2001-01-01","Solar","Solar",0.483043242753539
"2001-01-01","Wind","Wind",2.89181516013422
"2002-01-01","Biofuel","Biofuel",3.18635263316264
"2002-01-01","Coal","Coal",8.43252706218195
"2002-01-01","Gas","Gas",8.28816536164257
"2002-01-01","Hydro","Hydro",7.04414807388768
"2002-01-01","Nuclear","Nuclear",7.06827335811318
"2002-01-01","Oil","Oil",8.84302473036451
"2002-01-01","OtherRenewables","OtherRenewables",4.5085381328941
"2002-01-01","Solar","Solar",0.569283193337559
"2002-01-01","Wind","Wind",3.1684242813721
"2003-01-01","Biofuel","Biofuel",3.29015408286883
"2003-01-01","Coal","Coal",8.50448072938855
"2003-01-01","Gas","Gas",8.30316199619002
"2003-01-01","Hydro","Hydro",7.02359865694041
"2003-01-01","Nuclear","Nuclear",7.02889445427397
"2003-01-01","Oil","Oil",8.85249173953449
"2003-01-01","OtherRenewables","OtherRenewables",4.54372022367187
"2003-01-01","Solar","Solar",0.674983209932274
"2003-01-01","Wind","Wind",3.32726375328403
"2004-01-01","Biofuel","Biofuel",3.46113156910519
"2004-01-01","Coal","Coal",8.55857771568696
"2004-01-01","Gas","Gas",8.32818315653847
"2004-01-01","Hydro","Hydro",7.07563725162069
"2004-01-01","Nuclear","Nuclear",7.05446692914096
"2004-01-01","Oil","Oil",8.87627112585927
"2004-01-01","OtherRenewables","OtherRenewables",4.60092117169868
"2004-01-01","Solar","Solar",0.809150856316251
"2004-01-01","Wind","Wind",3.60171351972638
"2005-01-01","Biofuel","Biofuel",3.62273965160939
"2005-01-01","Coal","Coal",8.61795918841942
"2005-01-01","Gas","Gas",8.34263787912404
"2005-01-01","Hydro","Hydro",7.09018766296786
"2005-01-01","Nuclear","Nuclear",7.03833782803801
"2005-01-01","Oil","Oil",8.87606747503341
"2005-01-01","OtherRenewables","OtherRenewables",4.66042512269769
"2005-01-01","Solar","Solar",0.998055033676795
"2005-01-01","Wind","Wind",3.7795881542394
"2006-01-01","Biofuel","Biofuel",3.83347750970655
"2006-01-01","Coal","Coal",8.65674676425789
"2006-01-01","Gas","Gas",8.35582183849463
"2006-01-01","Hydro","Hydro",7.1089272124399
"2006-01-01","Nuclear","Nuclear",7.03201860545799
"2006-01-01","Oil","Oil",8.87519066043302
"2006-01-01","OtherRenewables","OtherRenewables",4.70631783999294
"2006-01-01","Solar","Solar",1.19664602893948
"2006-01-01","Wind","Wind",4.00032688011598
"2007-01-01","Biofuel","Biofuel",4.09075479337154
"2007-01-01","Coal","Coal",8.69938173936491
"2007-01-01","Gas","Gas",8.38338518911021
"2007-01-01","Hydro","Hydro",7.107210053694
"2007-01-01","Nuclear","Nuclear",6.99282777756122
"2007-01-01","Oil","Oil",8.87521582681074
"2007-01-01","OtherRenewables","OtherRenewables",4.76869111331833
"2007-01-01","Solar","Solar",1.40560667215226
"2007-01-01","Wind","Wind",4.22868604330302
"2008-01-01","Biofuel","Biofuel",4.38839382105204
"2008-01-01","Coal","Coal",8.70056336488617
"2008-01-01","Gas","Gas",8.39467272684305
"2008-01-01","Hydro","Hydro",7.14483881564571
"2008-01-01","Nuclear","Nuclear",6.97118443500171
"2008-01-01","Oil","Oil",8.85469218645486
"2008-01-01","OtherRenewables","OtherRenewables",4.81765715711377
"2008-01-01","Solar","Solar",1.77766054484855
"2008-01-01","Wind","Wind",4.46353749485314
"2009-01-01","Biofuel","Biofuel",4.51102432809786
"2009-01-01","Coal","Coal",8.67294812659462
"2009-01-01","Gas","Gas",8.36179192993762
"2009-01-01","Hydro","Hydro",7.12491053619944
"2009-01-01","Nuclear","Nuclear",6.93852790734539
"2009-01-01","Oil","Oil",8.82308382720142
"2009-01-01","OtherRenewables","OtherRenewables",4.87252199196662
"2009-01-01","Solar","Solar",2.19777997862792
"2009-01-01","Wind","Wind",4.6669611861443
"2010-01-01","Biofuel","Biofuel",4.63865331680464
"2010-01-01","Coal","Coal",8.70580161107501
"2010-01-01","Gas","Gas",8.42162347793596
"2010-01-01","Hydro","Hydro",7.16140786053988
"2010-01-01","Nuclear","Nuclear",6.9456433738247
"2010-01-01","Oil","Oil",8.84119152279012
"2010-01-01","OtherRenewables","OtherRenewables",4.96546357544953
"2010-01-01","Solar","Solar",2.61271335427566
"2010-01-01","Wind","Wind",4.87418918160936
"2011-01-01","Biofuel","Biofuel",4.67121070356405
"2011-01-01","Coal","Coal",8.74073794223916
"2011-01-01","Gas","Gas",8.43345782425995
"2011-01-01","Hydro","Hydro",7.1620447219595
"2011-01-01","Nuclear","Nuclear",6.88479571379721
"2011-01-01","Oil","Oil",8.83871624370926
"2011-01-01","OtherRenewables","OtherRenewables",4.99553519257361
"2011-01-01","Solar","Solar",3.21759500496848
"2011-01-01","Wind","Wind",5.09476808749227
"2012-01-01","Biofuel","Biofuel",4.68505288086026
"2012-01-01","Coal","Coal",8.7325837256143
"2012-01-01","Gas","Gas",8.44739692586611
"2012-01-01","Hydro","Hydro",7.18558320845455
"2012-01-01","Nuclear","Nuclear",6.79583663909368
"2012-01-01","Oil","Oil",8.83918784605908
"2012-01-01","OtherRenewables","OtherRenewables",5.05437143835453
"2012-01-01","Solar","Solar",3.62271294185098
"2012-01-01","Wind","Wind",5.2620993408134
"2013-01-01","Biofuel","Biofuel",4.73903652251264
"2013-01-01","Coal","Coal",8.73888320685883
"2013-01-01","Gas","Gas",8.451877621788
"2013-01-01","Hydro","Hydro",7.21173531515309
"2013-01-01","Nuclear","Nuclear",6.78708482875354
"2013-01-01","Oil","Oil",8.83812443278834
"2013-01-01","OtherRenewables","OtherRenewables",5.11046252935466
"2013-01-01","Solar","Solar",3.91989196380684
"2013-01-01","Wind","Wind",5.42381721751542
"2014-01-01","Biofuel","Biofuel",4.7962449877768
"2014-01-01","Coal","Coal",8.72633793504296
"2014-01-01","Gas","Gas",8.4469329457212
"2014-01-01","Hydro","Hydro",7.21484063429684
"2014-01-01","Nuclear","Nuclear",6.78836232309935
"2014-01-01","Oil","Oil",8.83296813779256
"2014-01-01","OtherRenewables","OtherRenewables",5.1690056300677
"2014-01-01","Solar","Solar",4.24880947838624
"2014-01-01","Wind","Wind",5.51119641766306
"2015-01-01","Biofuel","Biofuel",4.81993473127141
"2015-01-01","Coal","Coal",8.68981923155579
"2015-01-01","Gas","Gas",8.45826726350202
"2015-01-01","Hydro","Hydro",7.19491121304739
"2015-01-01","Nuclear","Nuclear",6.78441294401737
"2015-01-01","Oil","Oil",8.83885935713705
"2015-01-01","OtherRenewables","OtherRenewables",5.22315730267833
"2015-01-01","Solar","Solar",4.48911939912207
"2015-01-01","Wind","Wind",5.65619458746208
"2016-01-01","Biofuel","Biofuel",4.84843004088713
"2016-01-01","Coal","Coal",8.66357318609297
"2016-01-01","Gas","Gas",8.46993637107408
"2016-01-01","Hydro","Hydro",7.21011732147369
"2016-01-01","Nuclear","Nuclear",6.78221473148666
"2016-01-01","Oil","Oil",8.84751167533785
"2016-01-01","OtherRenewables","OtherRenewables",5.22352916308945
"2016-01-01","Solar","Solar",4.71483144019761
"2016-01-01","Wind","Wind",5.78602890619178
"2017-01-01","Biofuel","Biofuel",4.86583300381583
"2017-01-01","Coal","Coal",8.65619136393257
"2017-01-01","Gas","Gas",8.48635349918525
"2017-01-01","Hydro","Hydro",7.20615248875794
"2017-01-01","Nuclear","Nuclear",6.77415759844633
"2017-01-01","Oil","Oil",8.84873328499189
"2017-01-01","OtherRenewables","OtherRenewables",5.26819830739189
"2017-01-01","Solar","Solar",5.00420130698698
"2017-01-01","Wind","Wind",5.93730662728027
"2018-01-01","Biofuel","Biofuel",4.92211004450681
"2018-01-01","Coal","Coal",8.66237174179529
"2018-01-01","Gas","Gas",8.52681317067962
"2018-01-01","Hydro","Hydro",7.21493919820605
"2018-01-01","Nuclear","Nuclear",6.78047743495646
"2018-01-01","Oil","Oil",8.84937150805823
"2018-01-01","OtherRenewables","OtherRenewables",5.30486091078905
"2018-01-01","Solar","Solar",5.25121527677895
"2018-01-01","Wind","Wind",6.02751196143933
"2019-01-01","Biofuel","Biofuel",4.96884060443921
"2019-01-01","Coal","Coal",8.6457200823859
"2019-01-01","Gas","Gas",8.53601651582242
"2019-01-01","Hydro","Hydro",7.21261742519377
"2019-01-01","Nuclear","Nuclear",6.80080906232029
"2019-01-01","Oil","Oil",8.84685198343661
"2019-01-01","OtherRenewables","OtherRenewables",5.34828778632268
"2019-01-01","Solar","Solar",5.45296792141695
"2019-01-01","Wind","Wind",6.1311047429419
